"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"CMWX1ZZABZ";1;"CMWX1ZZABZ-078";;;
2;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"220";;;
3;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"660";;;
4;"LED,LED";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
5;"Dist";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05_Female";;;
6;"TV";"PinSocket_1x07_P2.54mm_Vertical";1;"Conn_01x07_Female";;;
7;"UART";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
8;"DBG";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
9;"C16,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"_";;;
10;"C13,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10u";;;
11;"C10,C9,C5,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.1u";;;
12;"C7,C3,RST";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100n";;;
13;"U1";"SOT-223";1;"LM1117ADJ";;;
14;"Btn,RST";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
15;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.65k";;;
16;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
17;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k";;;
18;"Buzz";"Buzzer_15x7.5RM7.6";1;"Speaker_Crystal";;;
19;"ANT";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"Conn_Coaxial";;;
20;"USB";"USB_Micro-B_Wuerth_629105150521";1;"USB_OTG";;;
21;"C15,C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1u";;;
22;"C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100p";;;
23;"C8,C4";"CP_Elec_5x4.5";2;"10u";;;
